name,facebook,twitter,website,genre,mtv
 The Pasty White Blues Boys ,,,,,http://www.mtv.com/artists/the-pasty-white-blues-boys/biography
 The Polyphonic Spree ,http://www.facebook.com/129677932346,http://www.twitter.com/polyspree,http://www.thepolyphonicspree.com/,Indie Rock,http://www.mtv.com/artists/the-polyphonic-spree/biography
 The Posies ,http://www.facebook.com/109697702418213,http://www.twitter.com/theposies,,Alternative,http://www.mtv.com/artists/the-posies/biography
 The New Cars ,,,,Rock,http://www.mtv.com/artists/the-new-cars/biography
" The New F-O's ",http://www.facebook.com/113740333224,http://www.twitter.com/thenewfos,http://www.TheNewFOs.com,Hip-Hop,http://www.mtv.com/artists/the-new-f-os/biography
 The New Hinsons ,,,,,http://www.mtv.com/artists/the-new-hinsons/biography
 The New Lost City Ramblers ,,,,Blues/Folk,http://www.mtv.com/artists/the-new-lost-city-ramblers/biography
 The Nite-Niks ,,,,,http://www.mtv.com/artists/the-nite-niks/biography
 The Nolans ,,,,Rock,http://www.mtv.com/artists/the-nolans/biography
 The Santos Brothers ,,,,,http://www.mtv.com/artists/the-santos-brothers/biography
 The Saturdays ,http://www.facebook.com/14110526543,http://www.twitter.com/thesaturdays,http://www.thesaturdays.co.uk,Pop,http://www.mtv.com/artists/the-saturdays/biography
 The Red Queen Effect ,,,,,http://www.mtv.com/artists/the-red-queen-effect/biography
 The Relaxation Specialists ,,,,,http://www.mtv.com/artists/the-relaxation-specialists/biography
 The Remote Viewer ,,,,,http://www.mtv.com/artists/the-remote-viewer/biography
 The Revelry ,,,,,http://www.mtv.com/artists/the-revelry/biography
 The Riffs ,,,,Alternative,http://www.mtv.com/artists/the-riffs/biography
 The Scorchers ,,,,,http://www.mtv.com/artists/the-scorchers-00/biography
 The Steel Wheels ,,,,,http://www.cmt.com/artists/the-steel-wheels/biography
 The SteelDrivers ,,,,Rock,http://www.mtv.com/artists/the-steeldrivers/biography
 The Stooges ,,,http://www.iggypop.com/,Rock,http://www.mtv.com/artists/the-stooges/biography
 The Streets ,http://www.facebook.com/11884229652,,,Hip Hop,http://www.mtv.com/artists/the-streets/biography
 The Strugglers ,,,,Rock,http://www.mtv.com/artists/the-strugglers/biography
 The Stylistics ,,,,Soul,http://www.mtv.com/artists/the-stylistics/biography
 The Suburban Vamps ,,,,,http://www.mtv.com/artists/the-suburban-vamps/biography
 The Sugarhill Gang ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/the-sugarhill-gang/biography
 The Pretty Things ,http://www.facebook.com/115515605226,,,Alternative,http://www.mtv.com/artists/the-pretty-things/biography
 The Proclaimers ,http://www.facebook.com/46727363062,http://www.twitter.com/the_proclaimers,,Pop,http://www.mtv.com/artists/the-proclaimers/biography
 The Prodigal Sons ,,,,,http://www.mtv.com/artists/the-prodigal-sons/biography
 The Psychedelic Furs ,http://www.facebook.com/325752909960,http://www.twitter.com/pfurs,http://www.thepsychedelicfurs.com/,Rock,http://www.mtv.com/artists/the-psychedelic-furs/biography
 The Radiants ,,,,R&B,http://www.mtv.com/artists/the-radiants/biography
 The Ray Renzi Project ,,,,,http://www.mtv.com/artists/the-ray-renzi-project/biography
 The Soul Stirrers ,,,,Jazz,http://www.mtv.com/artists/the-soul-stirrers/biography
 The Sweet Serenades ,http://www.facebook.com/thesweetserenades,http://www.twitter.com/sweetserenades,http://www.thesweetserenades.com,Pop,http://www.mtv.com/artists/the-sweet-serenades/biography
