name,facebook,twitter,website,genre,mtv
 Curren$y ,http://www.facebook.com/199017240112887,http://www.twitter.com/currensy_spitta,,Hip-Hop,http://www.mtv.com/artists/curreny/biography
 Daniel Landa ,,,,,http://www.mtv.com/artists/daniel-landa-00/biography
 Daniel Merriweather ,http://www.facebook.com/74393775612,http://www.twitter.com/danmerriweather,http://www.danielmerriweather.com/,R&B/Soul,http://www.mtv.com/artists/daniel-merriweather/biography
" Daniel O'Donnell ",,,,Irish,http://www.cmt.com/artists/daniel-odonnell/biography
 D-Shot ,,,,Hip-Hop,http://www.mtv.com/artists/d-shot/biography
 Da Enforcerz ,http://www.facebook.com/pages/Da-Enforcerz/351506124946822?ref=hl,http://www.twitter.com/http://www.mtv.com/artists/da-enforcerz,,Hip-Hop,http://www.mtv.com/artists/da-enforcerz/biography
 Danna Faulds ,,,,,http://www.mtv.com/artists/danna-faulds/biography
 Danny Boone ,,,,,http://www.cmt.com/artists/danny-boone/biography
 Dana McVicker ,,,,,http://www.cmt.com/artists/dana-mcvicker/biography
 Daniel Bedingfield ,http://www.facebook.com/123795867671896,http://www.twitter.com/danielbedingfld,http://danielbedingfield.com,Pop,http://www.mtv.com/artists/daniel-bedingfield/biography
 Darlene Zschech ,http://www.facebook.com/234314445148,http://www.twitter.com/darlenezschech,,Inspirational,http://www.mtv.com/artists/darlene-zschech/biography
 Darrell Luster ,,,,,http://www.mtv.com/artists/darrell-luster/biography
 Darren Jackson ,http://www.facebook.com/561074913960759,,http://www.iamdarrenjackson.com,Hip-Hop,http://www.mtv.com/artists/darren-jackson/biography
 Dara Sedaka ,,,,,http://www.mtv.com/artists/dara-sedaka/biography
 Darkest Hour ,http://www.facebook.com/6831139414,http://www.twitter.com/darkesthourrock,,Metal,http://www.mtv.com/artists/darkest-hour/biography
 Das EFX ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/das-efx/biography
 Danny Kays ,,,,,http://www.cmt.com/artists/danny-kays/biography
 Danzig ,http://www.facebook.com/57342503070,http://www.twitter.com/danzlg,http://www.danzig-verotik.com/,Rock,http://www.mtv.com/artists/danzig/biography
 David Banner ,http://www.facebook.com/12692610817,http://www.twitter.com/therealbanner,http://www.nndb.com/people/162/000108835/,Hip-Hop/Rap,http://www.mtv.com/artists/david-banner/biography
 David Barr ,,,,,http://www.mtv.com/artists/david-barr/biography
 David Bedford ,,,,Alternative,http://www.mtv.com/artists/david-bedford/biography
 Dave Russell ,http://www.facebook.com/132913258805,http://www.twitter.com/http://www.daverussell.com,http://www.daverussell.com,Contemporary Country,http://www.cmt.com/artists/dave-russell/biography
 Dave Bergen ,,,,,http://www.mtv.com/artists/dave-bergen/biography
 Dave Davies ,http://www.facebook.com/12499331267,,http://www.davedavies.com/,Rock,http://www.mtv.com/artists/dave-davies/biography
 Dave Dudley ,,,,Country,http://www.cmt.com/artists/dave-dudley/biography
 David Gilmour ,http://www.facebook.com/9565558573,http://www.twitter.com/the_blog,,Rock,http://www.mtv.com/artists/david-gilmour/biography
 David Knopfler ,,,,Rock,http://www.mtv.com/artists/david-knopfler/biography
 David Langley ,,,,,http://www.cmt.com/artists/david-langley/biography
 David DiMuzio ,,,,,http://www.mtv.com/artists/david-dimuzio/biography
 Depeche Mode ,http://www.facebook.com/26101560328,http://www.twitter.com/depechemode,http://www.depechemode.com,Alternative,http://www.mtv.com/artists/depeche-mode/biography
 Deadmau5 ,http://www.facebook.com/9980651805,http://www.twitter.com/deadmau5,,Dance,http://www.mtv.com/artists/deadmau5/biography
 Daya ,,,,Rock,http://www.mtv.com/artists/daya/biography
" Dave Dee, Dozy. Beaky, Mich & Tich ",,,,Classic Rock,http://www.mtv.com/artists/dave-dee-dozy-beaky-mich-tich-1/biography
 Demon Hunter ,http://www.facebook.com/5520594673,http://www.twitter.com/demonhunterband,http://demonhunter.net/,Christian Metal,http://www.mtv.com/artists/demon-hunter/biography
 Debbie Andrews ,,,,Rock,http://www.mtv.com/artists/debbie-andrews/biography
 Debbie Gibson ,http://www.facebook.com/49881678950,http://www.twitter.com/debbiegibson,http://www.deborah-gibson.com/,Pop,http://www.mtv.com/artists/debbie-gibson/biography
 Debbie Spring ,,,,,http://www.mtv.com/artists/debbie-spring/biography
 Deborah Allen ,http://www.facebook.com/123218409795,http://www.twitter.com/deborahallen3,http://deborahallen3,Contemporary Country,http://www.cmt.com/artists/deborah-allen/biography
 Deborah Cox ,http://www.facebook.com/108593796190,http://www.twitter.com/deborah_cox,,R&B/Soul,http://www.mtv.com/artists/deborah-cox/biography
 Desi Arnaz ,,,,Latin,http://www.mtv.com/artists/desi-arnaz/biography
 Delta Goodrem ,http://www.facebook.com/11890490841,http://www.twitter.com/deltagoodrem,,Rock,http://www.mtv.com/artists/delta-goodrem/biography
 Diana King ,http://www.facebook.com/52915065372,http://www.twitter.com/dianakingdom,http://www.DIANAKINGDOM.com,World,http://www.mtv.com/artists/diana-king/biography
 Diane Bish ,,,,,http://www.mtv.com/artists/diane-bish/biography
 Diane Horner ,,,,,http://www.cmt.com/artists/diane-horner/biography
 Diarrhea Planet ,http://www.facebook.com/DiarrheaPlanet,https://twitter.com/diarrheaplanet,http://diarrheaplanet.blogspot.com,Indie Rock,http://www.mtv.com/artists/diarrhea-planet/biography
 Dessert Sessions ,,,,,http://www.cmt.com/artists/dessert-sessions/biography
 DeVante Swing ,,,,Rock,http://www.mtv.com/artists/devante-swing/biography
 Diego Torres ,http://www.facebook.com/181949083764,http://www.twitter.com/diegotorres,http://www.diegotorres.com/english/media_cine.php,Latin,http://www.mtv.com/artists/diego-torres/biography
 Dick Thomas ,,,,,http://www.cmt.com/artists/dick-thomas/biography
 Dirty South ,http://www.facebook.com/89550521760,http://www.twitter.com/dirtysouth,http://dirtysouth.com,Electronic,http://www.mtv.com/artists/dirty-south/biography
 Disciple ,,,http://www.discipletn.com/,Rock,http://www.mtv.com/artists/disciple-7/biography
 Dispatch ,http://www.facebook.com/8521356202,http://www.twitter.com/dispatchmusic,,Alternative,http://www.mtv.com/artists/dispatch/biography
 DJ C4 ,,,,,http://www.mtv.com/artists/dj-c4/biography
 Dinah Shore ,,,,Easy Listening/Vocal,http://www.mtv.com/artists/dinah-shore/biography
 Dinah Washington ,http://www.facebook.com/553364624724329,http://www.twitter.com/dinahw,,Jazz,http://www.mtv.com/artists/dinah-washington/biography
 Dinco D ,,,,,http://www.mtv.com/artists/dinco-d/biography
 Dinho Ouro Preto ,,,,,http://www.mtv.com/artists/dinho-ouro-preto/biography
 Dipali Barthakur ,,,,,http://www.mtv.com/artists/dipali-barthakur/biography
" Ol' Dirty Bastard ",http://www.facebook.com/107086446019929,,http://www.wutang-corp.com/artists/wu-artist.php?id=7,Hip-Hop/Rap,http://www.mtv.com/artists/ol-dirty-bastard/biography
 DJ Nyk ,,,,,http://www.mtv.com/artists/dj-nyk-2/biography
 DJ Fresh ,http://www.facebook.com/52756170274,http://www.twitter.com/djfreshuk,,Electronic/Dance,http://www.mtv.com/artists/dj-fresh/biography
 Donna Stoneman ,,,,,http://www.cmt.com/artists/donna-stoneman/biography
 Donnie Baker ,,,,,http://www.mtv.com/artists/donnie-baker/biography
 Don Yute ,,,http://donyute.com/,Pop,http://www.mtv.com/artists/don-yute/biography
 Donell Jones ,http://www.facebook.com/143498719004215,http://www.twitter.com/donelljones96,,R&B/Soul,http://www.mtv.com/artists/donell-jones/biography
 Donny Osmond ,http://www.facebook.com/10025062311,,,Pop,http://www.mtv.com/artists/donny-osmond/biography
 Donovan ,http://www.facebook.com/185320642992,http://www.twitter.com/donovanofficial,http://www.donovan.ie/,Rock,http://www.mtv.com/artists/donovan/biography
 Don Gibson ,,,http://www.countrymusichalloffame.com/inductees/don_gibson.html,Country,http://www.cmt.com/artists/don-gibson/biography
 Dope ,http://www.facebook.com/46351583273,http://www.twitter.com/edseldope,,Rock,http://www.mtv.com/artists/dope/biography
 Dokken ,http://www.facebook.com/206030359168,http://www.twitter.com/dokkencentral,http://www.rebbeach.com/,Rock,http://www.mtv.com/artists/dokken/biography
 Doyle Lawson ,,,,Blues/Folk,http://www.cmt.com/artists/doyle-lawson/biography
 Doug Moreland ,,,,,http://www.cmt.com/artists/doug-moreland/biography
 Drowning Pool ,http://www.facebook.com/81853193614,http://www.twitter.com/drowningpool,http://www.drowningpool.com,Rock,http://www.mtv.com/artists/drowning-pool/biography
 Dry County ,http://www.facebook.com/drycountyband,http://www.twitter.com/http://www.drycountyband.com,http://www.drycountyband.com,Outlaw Country,http://www.cmt.com/artists/dry-county/biography
 Dry The River ,http://www.facebook.com/80971359302,http://www.twitter.com/drytheriver,,Rock,http://www.mtv.com/artists/dry-the-river/biography
 Dren ,,,http://www.calisashollywood.com,West Coast Rap,http://www.mtv.com/artists/dren/biography
 Drew Holcomb & The Neighbors ,http://www.facebook.com/32287690475,http://www.twitter.com/drewholcomb,http://www.drewholcomb.com,Americana,http://www.cmt.com/artists/drew-holcomb-the-neighbors/biography
 Drew Sidora ,,,,,http://www.mtv.com/artists/drew-sidora/biography
 Dr. Gloria F. Thompson ,,,,,http://www.mtv.com/artists/dr-gloria-f-thompson/biography
 Eddie Money ,http://www.facebook.com/139346705593,http://www.twitter.com/ImEddieMoney,http://www.eddiemoney.com/,Pop,http://www.mtv.com/artists/eddie-money/biography
 Eddie Wilson ,,,,,http://www.mtv.com/artists/eddie-wilson/biography
 Duke Dumont ,http://www.facebook.com/20220408026,http://www.twitter.com/dukedumont,,Dance,http://www.mtv.com/artists/duke-dumont/biography
 Dundika ,,,,,http://www.mtv.com/artists/dundika/biography
 Echo & The Bunnymen ,http://www.facebook.com/142818024472,http://www.twitter.com/bunnymen,http://www.bunnymen.com,Logo Pop News,http://www.mtv.com/artists/echo-the-bunnymen/biography
 Echun Okiry ,,,,,http://www.mtv.com/artists/echun-okiry/biography
 Ibrahim Tatlises ,,,,Zydeco,http://www.mtv.com/artists/brahim-tatlses/biography
 Egypt Central ,http://www.facebook.com/135225129824197,http://www.twitter.com/egyptcentral,,Rock,http://www.mtv.com/artists/egypt-central/biography
 Eileen Kelly ,,,,,http://www.mtv.com/artists/eileen-kelly/biography
 Edward Maya ,http://www.facebook.com/312483516178,http://www.twitter.com/edwardmaya,,Rock,http://www.mtv.com/artists/edward-maya/biography
 Edilberto Cuestas ,,,,,http://www.mtv.com/artists/edilberto-cuestas/biography
 Edita Pieha ,,,,,http://www.mtv.com/artists/edita-pieha/biography
 Elenita Santos ,,,,,http://www.mtv.com/artists/elenita-santos/biography
 Eli Tellor ,,,,,http://www.cmt.com/artists/eli-tellor/biography
 Elida Reyna ,,,,Latin,http://www.mtv.com/artists/elida-reyna/biography
 Elida y Avante ,,,,Latin,http://www.mtv.com/artists/elida-y-avante-1/biography
" Elijah's Diner ",,,,,http://www.mtv.com/artists/elijahs-diner/biography
 Enigma ,,,http://www.enigma.de/enigma_lsd/index_en.htm,Easy Listening/Vocal,http://www.mtv.com/artists/enigma-00/biography
 Ennio Morricone ,http://www.facebook.com/57691724305,http://www.twitter.com/menniomorricone,,Soundtracks/Musicals,http://www.mtv.com/artists/ennio-morricone/biography
 Elo ,,,,,http://www.mtv.com/artists/elo-3/biography
 Elle Varner ,http://www.facebook.com/25537266635,http://www.twitter.com/ellevarner,http://www.ellevarner.com,R&B/Soul,http://www.mtv.com/artists/elle-varner/biography
" Emerson, Lake & Palmer ",http://www.facebook.com/413806868655890,,,Rock,http://www.mtv.com/artists/emerson-lake-palmer-00/biography
 Enrique Guzmán ,,,,Latin,http://www.mtv.com/artists/enrique-guzman/biography
 Emilíana Torrini ,http://www.facebook.com/15303028445,http://www.twitter.com/emilianatorrini,http://www.emilianatorrini.com/,Alternative,http://www.mtv.com/artists/emiliana-torrini/biography
 Emily Osment ,http://www.facebook.com/55524569393,http://www.twitter.com/emilyosment,,Country,http://www.cmt.com/artists/emily-osment/biography
 Emma Bunton ,,,http://www.emmabuntonofficial.com/,Pop,http://www.mtv.com/artists/emma-bunton/biography
 Eric Lee Beddingfield ,,,,,http://www.cmt.com/artists/eric-lee-beddingfield/biography
 Faker Five ,,,,,http://www.mtv.com/artists/faker-five/biography
 Example ,http://www.facebook.com/14418252173,http://www.twitter.com/example,,Electronic/Dance,http://www.mtv.com/artists/example/biography
 EXILE ,,,,Rock,http://www.mtv.com/artists/exile/biography
 Fahad al Kubaisi ,,,,,http://www.mtv.com/artists/fahad-al-kubaisi-2/biography
 Faith No More ,http://www.facebook.com/16942753414,http://www.twitter.com/faith_no_more,http://www.fnm.com/,Rock,http://www.mtv.com/artists/faith-no-more/biography
 Far * East Movement ,http://www.facebook.com/5980403598,http://www.twitter.com/fareastmovement,,Hip-Hop,http://www.mtv.com/artists/far-east-movement/biography
 Faraz Khan ,,,,,http://www.mtv.com/artists/faraz-khan/biography
 EZ3kiel ,,,,,http://www.mtv.com/artists/ez3kiel/biography
 Fizz ,,,,,http://www.mtv.com/artists/fizz/biography
 Fenster ,,,,Rock,http://www.mtv.com/artists/fenster/biography
 Fela Kuti ,http://www.facebook.com/13823216189,http://www.twitter.com/felakuti,,Funk,http://www.mtv.com/artists/fela-kuti/biography
 Ferron ,,,,Blues/Folk,http://www.mtv.com/artists/ferron/biography
 Fats Kaplin ,,,,,http://www.cmt.com/artists/fats-kaplin/biography
 Finger Eleven ,http://www.facebook.com/6134437571,http://www.twitter.com/finger_eleven,http://fingereleven.com/,Rock,http://www.mtv.com/artists/finger-eleven/biography
" Flamin' Groovies ",,,,Rock,http://www.mtv.com/artists/flamin-groovies/biography
 Fey ,http://www.facebook.com/128308406834,http://www.twitter.com/officialfey,,Latin,http://www.mtv.com/artists/fey/biography
 Fiction Plane ,http://www.facebook.com/11895836206,,http://www.fictionplane.com/,Rock,http://www.mtv.com/artists/fiction-plane/biography
